baseline,metric,baseline_point,ramr_point,point_margin_baseline_minus_ramr,date_contribution_mean_margin,date_contribution_median_margin,date_positive_rate,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_prob_positive,wilcoxon_statistic,wilcoxon_p,sign_flip_p,n_dates,wilcoxon_p_holm,sign_flip_p_holm,point_margin_positive,bootstrap_ci95_low_positive,wilcoxon_holm_significant_0_01,sign_flip_holm_significant_0_01
DLinear,MAE,0.1826079850174714,0.13802760334469663,0.04458038167277478,0.0002102848571549114,0.00014564139522669443,0.7452830188679245,0.03401113798971076,0.05473298377753326,1.0,18194.0,5.736067674686185e-15,4.999750012499375e-05,212,6.883281209623422e-14,0.0007499625018749063,True,True,True,True
DLinear,MAPE,24.191367626190186,18.546323040648975,5.645044585541211,0.026627565894663814,0.020020763526344736,0.7924528301886793,4.462241620494619,6.943510415500316,1.0,19219.0,3.722934085580781e-19,4.999750012499375e-05,212,4.839814311255015e-18,0.0007499625018749063,True,True,True,True
DLinear,MSE,0.05428245067519333,0.035640054881848904,0.018642395793344424,8.793582311318607e-05,3.1703115101500804e-05,0.7216981132075472,0.011877328652588578,0.025078298132002845,1.0,17366.0,5.384445502521312e-12,4.999750012499375e-05,212,4.846000952269181e-11,0.0007499625018749063,True,True,True,True
FreEformer,MAE,0.1592583848324032,0.13802760334469663,0.021230781487706574,0.00010014512894302578,7.456646165632519e-05,0.6839622641509434,0.014537497152330039,0.02807165887410383,1.0,16704.0,6.997971321367739e-10,4.999750012499375e-05,212,3.4989856606838697e-09,0.0007499625018749063,True,True,True,True
FreEformer,MAPE,22.604434192180634,18.546323040648975,4.058111151531659,0.01914202715096074,0.016684443502516966,0.7688679245283019,2.9445966947379567,5.168954267274635,1.0,17841.0,1.1766431489968907e-13,4.999750012499375e-05,212,1.2943074638965797e-12,0.0007499625018749063,True,True,True,True
FreEformer,MSE,0.044534127587090695,0.035640054881848904,0.008894072705241791,4.1953156834098656e-05,1.5363926626851583e-05,0.6839622641509434,0.004873676319365564,0.013092187209715089,1.0,16404.0,5.324950609140176e-09,9.99950002499875e-05,212,2.1299802436560703e-08,0.0007499625018749063,True,True,True,True
PatchTST,MAE,0.18232625341112405,0.13802760334469663,0.044298650066427414,0.0002089559275897102,0.00016996780044334464,0.7216981132075472,0.03178775616262821,0.05726342812242838,1.0,17689.0,4.121905651714295e-13,4.999750012499375e-05,212,4.1219056517142955e-12,0.0007499625018749063,True,True,True,True
PatchTST,MAPE,28.288650512695312,18.546323040648975,9.742327472046338,0.04595437324788868,0.04465325810735758,0.8773584905660378,8.232071795856072,11.407152568997551,1.0,20790.0,1.1419147793278252e-26,4.999750012499375e-05,212,1.7128721689917378e-25,0.0007499625018749063,True,True,True,True
PatchTST,MSE,0.0590790387913371,0.035640054881848904,0.023438983909488197,0.00011056123193908735,3.324867343251017e-05,0.7122641509433962,0.014304416826314321,0.03265177647818394,1.0,17289.0,9.749625302131895e-12,4.999750012499375e-05,212,7.799700241705516e-11,0.0007499625018749063,True,True,True,True
TimeMixer,MAE,0.1525686276773129,0.13802760334469663,0.014541024332616281,6.858973252289144e-05,8.19118352203089e-05,0.6320754716981132,0.006899339639517219,0.021953264602548983,1.0,15330.0,3.1066300071485325e-06,0.00014999250037498125,212,6.213260014297065e-06,0.0007499625018749063,True,True,True,True
TimeMixer,MAPE,24.483714997768402,18.546323040648975,5.937391957119427,0.028006561082122357,0.029203200600563365,0.8301886792452831,4.6476998242377245,7.177431629903704,1.0,19904.0,2.871150987933534e-22,4.999750012499375e-05,212,4.019611383106948e-21,0.0007499625018749063,True,True,True,True
TimeMixer,MSE,0.038867226811814204,0.035640054881848904,0.0032271719299653,1.5222510045293787e-05,1.1500718368898565e-05,0.6084905660377359,-0.0018087808868011,0.00807053463954277,0.9025,14253.0,0.00045886551024238917,0.1056947152642368,212,0.00045886551024238917,0.1056947152642368,True,False,True,False
iTransformer,MAE,0.16473049322487537,0.13802760334469663,0.026702889880178743,0.00012595707414655055,8.597653125016488e-05,0.6981132075471698,0.01934450699819902,0.033904349184981794,1.0,17077.0,4.815026522807e-11,4.999750012499375e-05,212,3.3705185659649e-10,0.0007499625018749063,True,True,True,True
iTransformer,MAPE,21.356631815433502,18.546323040648975,2.8103087747845272,0.013256172616248882,0.01307544441833762,0.7311320754716981,1.782498824108234,3.8432283523957076,1.0,16981.0,9.745942803948265e-11,4.999750012499375e-05,212,5.847565682368959e-10,0.0007499625018749063,True,True,True,True
iTransformer,MSE,0.04764235152962891,0.035640054881848904,0.012002296647780006,5.661462257190933e-05,1.6155943420707275e-05,0.6792452830188679,0.007499382502099744,0.016318749406804244,1.0,16269.0,1.2805045003284781e-08,4.999750012499375e-05,212,3.8415135009854345e-08,0.0007499625018749063,True,True,True,True
