mape,mse,mae,valid_count,ignored_count,mean_target,total_target,total_abs_error,target,station,direction
11.614144349646214,0.02938903485730909,0.11709442479166834,212,0,4207.6982421875,892032.0,104451.97393576267,上海_to_nj,上海,to_nj
11.657815896524111,0.025512548316168615,0.11720553747681037,212,0,4346.6181640625,921483.0,108002.91029074483,上海_from_nj,上海,from_nj
11.816133640980745,0.02961757947047576,0.12093404707344982,212,0,8596.4384765625,1822445.0,220395.64941877447,杭州东_from_nj,杭州东,from_nj
11.96623382264015,0.02820735007979334,0.120458206371175,212,0,11044.13671875,2341357.0,282035.6646945964,上海虹桥_from_nj,上海虹桥,from_nj
11.970690500088493,0.03296568167844555,0.12349984265571254,212,0,8976.216796875,1902958.0,235015.01358043065,杭州东_to_nj,杭州东,to_nj
12.529083171921787,0.03584024482867361,0.12980961099227323,212,0,12092.4013671875,2563589.0,332778.490834072,上海虹桥_to_nj,上海虹桥,to_nj
12.778777517325338,0.03954114242012978,0.1285784915278959,212,0,1455.8914794921875,308649.0,39685.62283159483,武汉_from_nj,武汉,from_nj
13.58243681933089,0.03763878654999463,0.13502074349624024,212,0,7444.7451171875,1578286.0,213101.34916970838,北京南_from_nj,北京南,from_nj
14.538432130396423,0.04535751530907504,0.13380963966382564,212,0,7257.99072265625,1538694.0,205892.08969289187,北京南_to_nj,北京南,to_nj
16.390201794237395,0.05693090442584221,0.16444656443139669,212,0,1533.1085205078125,325019.0,53448.25792492976,武汉_to_nj,武汉,to_nj
16.522572305429183,0.0779968538871859,0.18087676487824916,212,0,895.3348999023438,189811.0,34332.399618307165,西安北_from_nj,西安北,from_nj
16.91917569360023,0.0699951596326535,0.17827357870950145,212,0,2778.70751953125,589086.0,105018.46938766715,汉口_to_nj,汉口,to_nj
18.30306801389967,0.08552730386687475,0.2096317102273523,212,0,1923.0235595703125,407681.0,85462.86525719932,杭州西_to_nj,杭州西,to_nj
18.58673240496383,0.07966783202854737,0.19081277623364737,212,0,880.7546997070312,186720.0,35628.56157834855,西安北_to_nj,西安北,to_nj
18.961784892446364,0.08238832820520951,0.19596415391597008,212,0,2834.797119140625,600977.0,117769.94932795991,汉口_from_nj,汉口,from_nj
19.190563289485542,0.06976178581381796,0.19900974228270593,212,0,2070.36328125,438917.0,87348.75905350043,杭州西_from_nj,杭州西,from_nj
29.133703595392575,0.12700583193563703,0.2839893214066154,212,0,223.9292449951172,47473.0,13481.825055139092,广州南_to_nj,广州南,to_nj
30.557312370203316,0.12309103508921564,0.2757062627105562,212,0,255.5707550048828,54181.0,14938.041019923401,广州南_from_nj,广州南,from_nj
31.46763650022175,0.1169245055005837,0.30057909887586665,212,0,244.2971649169922,51791.0,15567.292109883016,成都东_from_nj,成都东,from_nj
42.43996210424551,0.19601733894033163,0.33847257056481633,212,0,215.22640991210938,45628.0,15443.826449734825,成都东_to_nj,成都东,to_nj
